specObjID,bestObjID,plate,mjd,fiberID,survey,class,subClass,ra,dec,psfMag_u,psfMag_g,psfMag_r,psfMag_i,psfMag_z
1.030664E+19,1237663784191984270,9154,58013,552,eboss,GALAXY,STARBURST,347.6813,0.1141916,23.13609,21.80018,21.23934,20.94928,20.57253
1.030767E+19,1237656906351116600,9155,58043,193,eboss,GALAXY,STARFORMING,350.8971,-0.88127,22.26301,21.98604,21.06778,20.86038,21.08102
1.030777E+19,1237663783119159706,9155,58043,574,eboss,GALAXY,STARBURST,349.6872,-0.6374692,24.56389,22.74857,21.83527,21.83389,21.68478
1.030888E+19,1237657190901481486,9156,58039,504,eboss,GALAXY,STARBURST,351.4193,-0.075832,23.33535,22.67266,21.883,21.40409,20.8288
1.030999E+19,1237679998239899948,9157,57742,441,eboss,GALAXY,STARBURST,353.8597,-1.869506,21.99806,22.31032,21.67927,21.58429,21.27247
1.031111E+19,1237679998777819256,9158,57664,419,eboss,GALAXY,STARBURST,356.2576,-1.44162,21.83764,21.86547,21.77897,22.15466,22.54498
1.031325E+19,1237678596461887662,9160,57656,8,eboss,GALAXY,STARFORMING BROADLINE,318.9197,1.238077,24.71017,20.56234,19.20542,19.21259,18.84816
1.031455E+19,1237678620084470668,9161,57691,668,eboss,GALAXY,STARBURST,319.4108,2.595942,20.78652,20.55844,20.20399,20.03038,19.76458
1.031567E+19,1237678596999807707,9162,58040,637,eboss,GALAXY,STARBURST,321.3205,1.771172,21.55491,21.88181,21.7555,21.9965,22.12204
1.031569E+19,1237678597536809254,9162,58040,702,eboss,GALAXY,STARBURST,321.6494,2.096375,21.23128,20.1588,20.43024,19.96927,19.09749
1.031668E+19,1237656239008449249,9163,58043,226,eboss,GALAXY,STARBURST,324.3271,0.9956822,22.2179,21.75739,21.08474,20.59245,20.44227
1.031891E+19,1237678595929473903,9165,58048,142,eboss,GALAXY,STARBURST,329.1624,1.055812,22.27171,21.9909,21.67138,21.55338,21.27669
1.031893E+19,1237663543682335251,9165,58048,204,eboss,GALAXY,STARBURST,328.8781,0.3723386,22.24144,21.28444,20.58474,20.33637,20.13762
1.032007E+19,1237663543683318367,9166,58051,244,eboss,GALAXY,STARBURST,331.0006,0.2109546,22.44337,21.2456,20.88073,20.56891,20.48251
1.032021E+19,1237678618478903535,9166,58051,770,eboss,GALAXY,STARBURST,330.9992,1.859139,21.78101,22.08169,22.00322,21.67131,21.57954
1.032021E+19,1237678596467130878,9166,58051,778,eboss,GALAXY,STARBURST,330.8864,1.646683,21.77981,21.84399,21.47799,21.49425,21.16916
1.032346E+19,1237678617407848928,9169,58069,289,eboss,GALAXY,STARBURST,337.2648,1.133446,22.18729,21.96387,21.41394,21.19362,20.70531
1.032679E+19,1237663445443150090,9172,58015,136,eboss,GALAXY,STARBURST,344.7442,0.7553721,22.00074,21.14924,20.8194,20.40487,20.19269
1.032795E+19,1237666408436400866,9173,58069,246,eboss,GALAXY,STARFORMING,346.2975,0.3091044,22.26487,22.08675,21.33828,21.13196,20.57692
1.033261E+19,1237678618489651490,9177,58044,837,eboss,GALAXY,STARBURST,355.5829,2.139286,21.23094,21.16345,20.72633,20.76341,21.14936
